dd-mm-yyyy,Draw#,Numbers,Power Ball,Multiplier,Jackpot,Wins
02-Jan-10,886,"[13, 16, 19, 20, 33]",6,1,1284115.8,0
06-Jan-10,887,"[20, 28, 32, 33, 36]",7,1,1632897.18,1
09-Jan-10,888,"[2, 7, 9, 15, 23]",8,1,1.0,1
13-Jan-10,889,"[3, 6, 7, 21, 26]",9,1,1000000.0,0
16-Jan-10,890,"[8, 19, 22, 23, 26]",6,1,1000000.0,0
20-Jan-10,891,"[7, 9, 19, 23, 31]",1,1,1269467.4,0
23-Jan-10,892,"[5, 10, 15, 27, 32]",9,1,1637925.17,0
27-Jan-10,893,"[4, 5, 11, 13, 30]",3,1,1953430.36,0
30-Jan-10,894,"[10, 11, 21, 29, 32]",6,1,2415959.68,0
01-Jan-11,990,"[15, 20, 22, 25, 29]",3,1,1000000.0,0
05-Jan-11,991,"[8, 9, 19, 30, 32]",8,1,1000000.0,0
08-Jan-11,992,"[5, 11, 20, 21, 23]",2,1,1024936.06,0
12-Jan-11,993,"[3, 10, 12, 13, 31]",3,1,1330786.5,0
15-Jan-11,994,"[5, 6, 10, 22, 27]",3,1,1714590.07,0
19-Jan-11,995,"[6, 13, 19, 20, 29]",3,1,2029689.94,0
22-Jan-11,996,"[5, 16, 19, 31, 33]",7,1,2440386.55,0
26-Jan-11,997,"[14, 18, 25, 29, 32]",10,1,2782737.5,0
29-Jan-11,998,"[15, 16, 18, 26, 33]",5,1,3231756.31,0
04-Jan-12,1095,"[1, 9, 13, 17, 24]",6,1,1601327.43,0
07-Jan-12,1096,"[7, 11, 15, 16, 20]",1,1,1961453.02,0
11-Jan-12,1097,"[9, 15, 20, 22, 25]",10,1,2276149.41,1
14-Jan-12,1098,"[3, 23, 25, 28, 30]",5,1,1000000.0,0
18-Jan-12,1099,"[2, 9, 15, 24, 27]",6,1,1100000.0,0
21-Jan-12,1100,"[15, 18, 25, 31, 34]",1,1,1200000.0,0
25-Jan-12,1101,"[3, 6, 7, 22, 28]",8,1,1185495.97,0
28-Jan-12,1102,"[15, 17, 21, 26, 36]",10,1,1550421.57,1
02-Jan-13,1199,"[3, 6, 7, 15, 19]",4,1,2000000.0,0
05-Jan-13,1200,"[3, 15, 27, 28, 30]",4,1,2362994.49,0
09-Jan-13,1201,"[8, 13, 26, 30, 31]",6,1,2810028.83,0
12-Jan-13,1202,"[8, 13, 17, 20, 23]",4,1,3357092.08,0
16-Jan-13,1203,"[16, 18, 25, 27, 30]",4,1,3871455.02,0
19-Jan-13,1204,"[13, 16, 20, 28, 33]",1,1,4511959.8,0
23-Jan-13,1205,"[5, 8, 9, 17, 34]",6,1,5138599.28,0
26-Jan-13,1206,"[4, 8, 19, 31, 35]",3,1,5934128.36,0
30-Jan-13,1207,"[4, 26, 30, 31, 34]",2,1,6729930.95,1
01-Jan-14,1300,"[1, 7, 14, 17, 29]",1,1,2000000.0,0
04-Jan-14,1301,"[8, 9, 17, 30, 32]",9,1,2000000.0,0
08-Jan-14,1302,"[6, 12, 13, 21, 24]",8,1,1.0,1
11-Jan-14,1303,"[8, 16, 28, 29, 33]",3,1,1.0,1
15-Jan-14,1304,"[2, 9, 17, 23, 33]",2,1,2280844.37,0
18-Jan-14,1305,"[15, 19, 23, 29, 33]",9,1,2864111.28,0
22-Jan-14,1306,"[2, 4, 6, 20, 35]",10,1,3352926.81,1
25-Jan-14,1307,"[6, 12, 14, 30, 34]",4,1,1.0,1
29-Jan-14,1308,"[1, 10, 11, 28, 29]",10,1,1.0,1
03-Jan-15,1405,"[4, 9, 15, 25, 27]",10,1,6221306.98,0
07-Jan-15,1406,"[5, 25, 30, 32, 33]",10,1,6934248.06,0
10-Jan-15,1407,"[13, 21, 27, 32, 35]",6,1,7807386.75,0
14-Jan-15,1408,"[5, 6, 27, 33, 34]",6,1,8661349.52,0
17-Jan-15,1409,"[2, 5, 11, 18, 27]",10,1,9836190.83,0
21-Jan-15,1410,"[5, 22, 23, 31, 32]",3,1,10874054.8,0
24-Jan-15,1411,"[2, 7, 13, 25, 29]",3,1,12205414.0,0
28-Jan-15,1412,"[1, 24, 26, 31, 34]",6,1,13477352.2,0
31-Jan-15,1413,"[11, 15, 22, 31, 35]",1,1,15138629.9,0
02-Jan-16,1508,"[13, 18, 19, 28, 29]",6,1,2769209.51,0
07-Jan-16,1509,"[20, 34, 7, 12, 5]",3,1,3289145.69,0
09-Jan-16,1510,"[10, 12, 16, 17, 23]",8,1,3906500.26,0
13-Jan-16,1511,"[7, 16, 18, 26, 29]",9,1,4483654.5,0
16-Jan-16,1512,"[4, 8, 13, 21, 24]",7,1,5183901.0,0
20-Jan-16,1513,"[3, 8, 10, 15, 30]",4,1,5797677.73,0
23-Jan-16,1514,"[2, 7, 11, 28, 31]",9,1,6539510.5,0
27-Jan-16,1515,"[2, 3, 6, 12, 25]",10,1,7266222.92,1
31-Jan-16,1516,"[8, 10, 12, 29, 34]",1,1,2000000.0,0
04-Jan-17,1610,"[1, 15, 21, 23, 27]",8,1,2000000.0,0
07-Jan-17,1611,"[18, 20, 25, 30, 35]",5,1,2000000.0,0
11-Jan-17,1612,"[15, 18, 21, 23, 32]",4,1,2234451.74,0
14-Jan-17,1613,"[15, 18, 20, 31, 35]",5,1,2785942.86,0
18-Jan-17,1614,"[3, 12, 19, 25, 34]",2,1,3276666.61,0
21-Jan-17,1615,"[4, 9, 10, 13, 24]",1,1,3867896.17,0
25-Jan-17,1616,"[15, 17, 22, 23, 34]",6,1,4420558.54,0
28-Jan-17,1617,"[14, 15, 18, 26, 27]",8,1,5119188.08,0
03-Jan-18,1713,"[6, 10, 17, 21, 27]",1,1,4463428.51,0
06-Jan-18,1714,"[2, 4, 12, 25, 34]",10,1,5113883.96,0
10-Jan-18,1715,"[6, 15, 26, 27, 33]",10,1,5669238.62,0
13-Jan-18,1716,"[9, 27, 29, 34, 35]",8,1,6381407.19,0
17-Jan-18,1717,"[8, 11, 28, 34, 35]",9,1,7018274.73,0
20-Jan-18,1718,"[9, 16, 21, 28, 32]",10,1,7835508.94,0
24-Jan-18,1719,"[2, 7, 10, 21, 23]",6,1,8552388.95,0
27-Jan-18,1720,"[4, 12, 14, 16, 33]",3,1,9464338.72,0
31-Jan-18,1721,"[5, 16, 29, 30, 32]",2,1,10352680.58,0
02-Jan-19,1816,"[1, 13, 17, 27, 29]",3,1,5718666.41,0
05-Jan-19,1817,"[11, 13, 18, 26, 29]",6,1,6454791.64,1
09-Jan-19,1818,"[5, 6, 14, 16, 33]",4,1,2000000.0,0
12-Jan-19,1819,"[5, 8, 18, 27, 33]",6,1,2000000.0,0
16-Jan-19,1820,"[4, 12, 13, 22, 28]",10,1,2000000.0,0
19-Jan-19,1821,"[1, 11, 30, 34, 35]",1,1,2000000.0,0
23-Jan-19,1822,"[20, 22, 27, 32, 33]",3,1,2244254.76,0
26-Jan-19,1823,"[4, 7, 9, 17, 34]",7,1,2782301.96,0
30-Jan-19,1824,"[2, 4, 12, 14, 22]",10,1,3251070.4,0
01-Jan-20,1917,"[10, 14, 21, 29, 30]",10,1,12923650.05,1
04-Jan-20,1918,"[3, 9, 11, 15, 34]",8,1,2000000.0,0
08-Jan-20,1919,"[10, 20, 28, 33, 34]",8,1,2000000.0,0
11-Jan-20,1920,"[4, 9, 10, 12, 20]",10,1,2000000.0,0
15-Jan-20,1921,"[6, 11, 14, 30, 32]",8,1,2000000.0,0
18-Jan-20,1922,"[3, 5, 13, 17, 33]",8,1,2394732.59,0
22-Jan-20,1923,"[4, 5, 18, 20, 31]",6,1,2832750.76,1
25-Jan-20,1924,"[6, 8, 23, 25, 35]",4,1,2000000.0,0
29-Jan-20,1925,"[4, 14, 18, 22, 23]",8,1,2000000.0,0
02-Jan-21,2003,"[6, 10, 13, 14, 19]",7,1,7060621.09,0
06-Jan-21,2004,"[4, 28, 29, 30, 31]",3,1,8073084.17,0
09-Jan-21,2005,"[8, 11, 17, 27, 29]",3,1,9356973.45,0
13-Jan-21,2006,"[4, 5, 9, 10, 18]",7,1,10648444.08,1
16-Jan-21,2007,"[5, 12, 27, 32, 35]",2,1,2000000.0,0
20-Jan-21,2008,"[1, 16, 19, 22, 23]",5,1,2000000.0,0
23-Jan-21,2009,"[6, 11, 21, 33, 34]",4,1,2000000.0,0
27-Jan-21,2010,"[2, 13, 15, 29, 35]",7,1,2000000.0,0
30-Jan-21,2011,"[2, 10, 22, 30, 33]",8,1,2590857.89,0
01-Jan-22,2082,"[3, 7, 12, 17, 27]",2,1,7817158.08,0
05-Jan-22,2083,"[3, 16, 17, 21, 23]",6,1,8710484.94,0
08-Jan-22,2084,"[3, 12, 15, 19, 25]",8,1,9814507.22,0
12-Jan-22,2085,"[6, 11, 14, 15, 33]",9,1,10876656.7,0
15-Jan-22,2086,"[2, 10, 19, 21, 22]",7,1,12231191.66,2
19-Jan-22,2087,"[1, 4, 10, 18, 23]",4,1,2000000.0,0
22-Jan-22,2088,"[1, 5, 20, 21, 32]",9,1,2000000.0,0
26-Jan-22,2089,"[13, 15, 21, 24, 34]",9,1,2000000.0,0
29-Jan-22,2090,"[1, 16, 17, 25, 30]",8,1,2000000.0,0
04-Jan-23,2186,"[13, 18, 20, 31, 35]",6,10,2026091.57,0
07-Jan-23,2187,"[2, 7, 18, 28, 33]",9,4,2469184.17,0
11-Jan-23,2188,"[4, 8, 19, 20, 26]",2,10,2823613.36,0
14-Jan-23,2189,"[4, 5, 6, 9, 17]",9,3,3297917.49,0
18-Jan-23,2190,"[12, 16, 17, 20, 26]",10,3,3701494.0,0
21-Jan-23,2191,"[1, 4, 29, 30, 32]",4,3,4229936.63,0
25-Jan-23,2192,"[3, 24, 25, 26, 33]",2,1,4687462.76,0
28-Jan-23,2193,"[2, 6, 18, 26, 28]",4,20,5295699.79,0
03-Feb-10,895,"[2, 4, 9, 25, 31]",1,1,2807774.04,0
06-Feb-10,896,"[2, 3, 9, 15, 31]",2,1,3350300.41,0
10-Feb-10,897,"[10, 14, 19, 28, 29]",10,1,3869471.57,0
13-Feb-10,898,"[1, 13, 15, 23, 32]",8,1,4544673.13,0
17-Feb-10,899,"[1, 8, 9, 16, 23]",1,1,4989256.79,0
20-Feb-10,900,"[2, 9, 13, 20, 27]",9,1,5861844.84,0
24-Feb-10,901,"[8, 18, 23, 26, 34]",1,1,6833373.5,0
27-Feb-10,902,"[1, 4, 28, 32, 36]",8,1,8220558.83,0
02-Feb-11,999,"[3, 18, 26, 32, 33]",1,1,3660959.45,0
05-Feb-11,1000,"[1, 13, 25, 27, 36]",3,1,4200859.78,0
09-Feb-11,1001,"[1, 9, 16, 18, 36]",3,1,4622947.97,0
12-Feb-11,1002,"[3, 4, 5, 8, 11]",5,1,5183379.77,1
16-Feb-11,1003,"[6, 12, 16, 17, 23]",1,1,1000000.0,0
19-Feb-11,1004,"[16, 17, 18, 20, 30]",8,1,1000000.0,0
23-Feb-11,1005,"[6, 10, 17, 31, 35]",6,1,1000000.0,0
26-Feb-11,1006,"[7, 11, 14, 18, 33]",9,1,1287587.51,0
01-Feb-12,1103,"[9, 16, 22, 35, 36]",6,1,1000000.0,0
04-Feb-12,1104,"[1, 3, 10, 17, 27]",10,1,1000000.0,0
08-Feb-12,1105,"[14, 18, 27, 28, 35]",10,1,1200000.0,0
11-Feb-12,1106,"[13, 25, 30, 33, 34]",7,1,1287121.42,0
15-Feb-12,1107,"[1, 5, 9, 27, 30]",10,1,1598146.0,0
18-Feb-12,1108,"[10, 15, 28, 29, 31]",4,1,1998756.36,0
22-Feb-12,1109,"[4, 14, 17, 21, 25]",9,1,2260217.74,0
25-Feb-12,1110,"[2, 11, 20, 25, 35]",7,1,2743383.22,0
29-Feb-12,1111,"[4, 7, 20, 27, 34]",6,1,3253910.64,0
02-Feb-13,1208,"[4, 17, 24, 28, 34]",5,1,2000000.0,0
06-Feb-13,1209,"[3, 9, 12, 28, 29]",8,1,2000000.0,0
09-Feb-13,1210,"[7, 8, 18, 24, 30]",7,1,2000000.0,0
13-Feb-13,1211,"[8, 11, 16, 32, 33]",8,1,2000000.0,0
16-Feb-13,1212,"[1, 26, 27, 30, 33]",10,1,2278832.16,0
20-Feb-13,1213,"[3, 9, 30, 31, 32]",3,1,2727997.63,0
23-Feb-13,1214,"[11, 18, 27, 33, 35]",3,1,3305547.78,0
27-Feb-13,1215,"[1, 8, 10, 24, 28]",9,1,3838350.11,0
01-Feb-14,1309,"[3, 10, 11, 16, 26]",9,1,2000000.0,0
05-Feb-14,1310,"[5, 17, 23, 24, 35]",5,1,2000000.0,0
08-Feb-14,1311,"[5, 12, 19, 24, 28]",9,1,2432095.78,0
12-Feb-14,1312,"[4, 11, 15, 20, 33]",9,1,2884034.62,0
15-Feb-14,1313,"[4, 14, 22, 25, 27]",1,1,3456487.4,0
19-Feb-14,1314,"[1, 8, 10, 20, 28]",1,1,3977685.42,0
22-Feb-14,1315,"[11, 20, 24, 27, 33]",8,1,4633921.36,0
26-Feb-14,1316,"[3, 13, 30, 34, 35]",1,1,5294036.7,0
04-Feb-15,1414,"[19, 22, 25, 32, 34]",5,1,16894777.7,1
07-Feb-15,1415,"[5, 14, 23, 30, 33]",8,1,2000000.0,0
11-Feb-15,1416,"[3, 4, 5, 16, 28]",7,1,2000000.0,0
14-Feb-15,1417,"[20, 21, 22, 26, 32]",1,1,2000000.0,0
18-Feb-15,1418,"[1, 22, 24, 30, 34]",4,1,2000000.0,0
21-Feb-15,1419,"[6, 11, 13, 17, 29]",5,1,2326505.95,0
25-Feb-15,1420,"[10, 12, 26, 31, 35]",10,1,2797178.31,0
28-Feb-15,1421,"[1, 8, 13, 15, 23]",6,1,3000000.0,0
3-Feb-16,1517,"[6, 8, 17, 19, 28]",7,1,2000000.0,0
06-Feb-16,1518,"[14, 19, 28, 30, 34]",7,1,2000000.0,0
10-Feb-16,1519,"[2, 4, 7, 15, 31]",10,1,2000000.0,0
13-Feb-16,1520,"[9, 20, 22, 23, 24]",4,1,2311701.53,0
17-Feb-16,1521,"[13, 19, 20, 22, 28]",2,1,2802607.97,0
20-Feb-16,1522,"[1, 5, 31, 32, 33]",6,1,3379729.96,0
24-Feb-16,1523,"[4, 7, 8, 31, 34]",6,1,3916479.16,0
28-Feb-16,1524,"[1, 14, 22, 27, 28]",5,1,4578316.26,0
01-Feb-17,1618,"[17, 25, 26, 34, 35]",2,1,5784754.91,0
04-Feb-17,1619,"[2, 12, 24, 31, 34]",8,1,6651558.97,0
08-Feb-17,1620,"[7, 19, 20, 31, 35]",9,1,7450261.33,0
11-Feb-17,1621,"[6, 24, 27, 28, 34]",1,1,8473738.4,0
15-Feb-17,1622,"[8, 17, 18, 33, 35]",9,1,9512711.19,0
18-Feb-17,1623,"[9, 17, 22, 32, 35]",2,1,10780043.35,0
22-Feb-17,1624,"[6, 10, 22, 27, 34]",8,1,12009408.14,1
25-Feb-17,1625,"[7, 11, 17, 31, 32]",7,1,2000000.0,0
